OPTIONS                                     SYSTEM [s]     USER [s]     REAL [s]
0.0000000000000000000000000000001 10000     0.380000     0.060000     1.490000
0.00000000000000000000000000000000001 1000     0.030000     0.000000     0.090000
0.00000000000000000000000000000000001 10000     0.170000     0.040000     0.610000
0.00000000000000000000000000000000001 100     0.010000     0.000000     0.030000
0.0000000000000000000000000000000000001 100     0.010000     0.000000     0.040000
0.0000000000000000000000000000000000001 1000     0.040000     0.000000     0.140000
0.0000000000000000000000000000000000001 10000     0.350000     0.040000     1.290000
0.0000000000000000000000000000000000001 20000     0.590000     0.050000     2.110000
0.0000000000000000000000000000000000001 25000     0.830000     0.080000     3.070000
0.0000000000000000000000000000000000001 30000     0.560000     0.090000     2.040000
